"%1 ending ","%1 ending "
"%1 ending **** %2","%1 ending **** %2"
"%1 via Stripe","%1 via Stripe"
"%action amount %amount through Stripe.","%action amount %amount through Stripe."
"A final payment of %1 has been made which completes the order, however creating a charge for the order failed.","A final payment of %1 has been made which completes the order, however creating a charge for the order failed."
"A payment for this order can be made through a SEPA bank transfer. You will receive the details of our bank account as soon as the order is placed. The payment can be made in a single transfer, or in multiple transfers. You will receive an email confirmation for every payment that we receive. Bank transfers take on average 1-2 business days to reach us.","A payment for this order can be made through a SEPA bank transfer. You will receive the details of our bank account as soon as the order is placed. The payment can be made in a single transfer, or in multiple transfers. You will receive an email confirmation for every payment that we receive. Bank transfers take on average 1-2 business days to reach us."
"A payment for this order will not be collected.","A payment for this order will not be collected."
"A payment is pending for this order. Invoice ID: %1","A payment is pending for this order. Invoice ID: %1"
"A payment is pending for this order. Source ID: %1","A payment is pending for this order. Source ID: %1"
"A payment of %1 has been received, however this order is already being processed. Please hold while we review your order for possible overpayments.","A payment of %1 has been received, however this order is already being processed. Please hold while we review your order for possible overpayments."
"A webhook will automatically be configured in your Stripe account which will point to <a href=""%1"" target=""_blank"" rel=""noopener noreferrer"">%1</a>. Please ensure that this link is externally accessible. Existing webhook configurations will be upgraded. A reconfigure is necessary when you change your Stripe API keys or your website Base URL.","A webhook will automatically be configured in your Stripe account which will point to <a href=""%1"" target=""_blank"" rel=""noopener noreferrer"">%1</a>. Please ensure that this link is externally accessible. Existing webhook configurations will be upgraded. A reconfigure is necessary when you change your Stripe API keys or your website Base URL."
"Above all payment methods","Above all payment methods"
"Account Holder Name","Account Holder Name"
"Account Number","Account Number"
"Account Type","Account Type"
"Add a new card","Add a new card"
"Add a new saved card","Add a new saved card"
"Add to the subscription's invoice","Add to the subscription's invoice"
"Additional Info","Additional Info"
"After the order is placed, two micro-deposits will be made to your bank account with a statement description of ""AMNTS:"". These deposits will take 1-2 business days to appear on your online statement. Once they appear, click the link in your order email to enter these two amounts into a verification form. As soon as your bank account is verified, the payment will be completed and your order will be processed. For registered customers, this is only needed once per bank account.","After the order is placed, two micro-deposits will be made to your bank account with a statement description of ""AMNTS:"". These deposits will take 1-2 business days to appear on your online statement. Once they appear, click the link in your order email to enter these two amounts into a verification form. As soon as your bank account is verified, the payment will be completed and your order will be processed. For registered customers, this is only needed once per bank account."
"After the payment is complete, keep the receipt of your payment for your records.","After the payment is complete, keep the receipt of your payment for your records."
"All Currencies","All Currencies"
"American Express","American Express"
"An OXXO voucher will be created after placing the order. You can print this voucher and make a cash payment for the order at an OXXO convenience store. As soon as we receive a notification of payment, your order will be processed.","An OXXO voucher will be created after placing the order. You can print this voucher and make a cash payment for the order at an OXXO convenience store. As soon as we receive a notification of payment, your order will be processed."
"An attempt to manually refund the order was made, however this order was already refunded in Stripe. Creating an offline refund instead.","An attempt to manually refund the order was made, however this order was already refunded in Stripe. Creating an offline refund instead."
"An error has occurred. Please contact us to complete your order.","An error has occurred. Please contact us to complete your order."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"An invoice will be sent to the customer by email, which includes a link to a Stripe hosted checkout page. The customer can click that link to fill in their card details securely.","An invoice will be sent to the customer by email, which includes a link to a Stripe hosted checkout page. The customer can click that link to fill in their card details securely."
"An unsuccessful transaction for the amount of %1 has been attempted by the customer.","An unsuccessful transaction for the amount of %1 has been attempted by the customer."
"Apple Pay, Google Pay, Microsoft Pay","Apple Pay, Google Pay, Microsoft Pay"
"Are you sure you want to cancel this subscription?","Are you sure you want to cancel this subscription?"
"Ask the customer (Checked)","Ask the customer (Checked)"
"Ask the customer (Unchecked)","Ask the customer (Unchecked)"
"Attempting ACH charge for %1.","Attempting ACH charge for %1."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Automatic Invoicing","Automatic Invoicing"
"Available Payment Options","Available Payment Options"
"Bank Account Details","Bank Account Details"
"Bank Debits & Transfers","Bank Debits & Transfers"
"Basic Settings","Basic Settings"
"Button Height","Button Height"
"Button Theme","Button Theme"
"Button Type","Button Type"
"By providing your IBAN and confirming this payment, you authorise (A) %1 and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %1 and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you authorise (A) %1 and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %1 and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
"CVC Check","CVC Check"
"Captured payment of %1 through Stripe.","Captured payment of %1 through Stripe."
"Card **** %1 has been deleted.","Card **** %1 has been deleted."
"Card **** %1 was added successfully.","Card **** %1 was added successfully."
"Card Country","Card Country"
"Card Icons","Card Icons"
"Card Payments","Card Payments"
"Charge only once","Charge only once"
"Checkout Button Location","Checkout Button Location"
"Checkout Mode","Checkout Mode"
"Checkout Page","Checkout Page"
"Checkout with ","Checkout with "
"Collect at the checkout (optional)","Collect at the checkout (optional)"
"Collect at the checkout (required)","Collect at the checkout (required)"
"Could not find Stripe account for customer with ID %1","Could not find Stripe account for customer with ID %1"
"Could not find customer with ID %1","Could not find customer with ID %1"
"Could not place order. Please contact us for assistance.","Could not place order. Please contact us for assistance."
"Could not refund invoice because %1 is not a valid Payment Intent ID","Could not refund invoice because %1 is not a valid Payment Intent ID"
"Could not retrieve Payment Intent for subscription","Could not retrieve Payment Intent for subscription"
"Could not retrieve payment details. Please contact us.","Could not retrieve payment details. Please contact us."
"Could not set up customer profile: %1","Could not set up customer profile: %1"
"Currencies Applicable For","Currencies Applicable For"
"Customer 3D secure authentication is pending for this order.","Customer 3D secure authentication is pending for this order."
"Customer Account Holder Name","Customer Account Holder Name"
"Customer IBAN","Customer IBAN"
"Digital Wallet Payment via Stripe","Digital Wallet Payment via Stripe"
"Digital Wallets","Digital Wallets"
"Diners Club","Diners Club"
"Disabled (Use this in Live Mode)","Disabled (Use this in Live Mode)"
"Display Payment Method For","Display Payment Method For"
"Display all card icons","Display all card icons"
"Do not collect at the checkout","Do not collect at the checkout"
"EPS (Electronic Payment Standard)","EPS (Electronic Payment Standard)"
"Enter your card details:","Enter your card details:"
"Euro Only","Euro Only"
"Euro and Polish Złoty Only","Euro and Polish Złoty Only"
"Expired Authorizations","Expired Authorizations"
"Finalize Order","Finalize Order"
"For any questions or clarification, please contact us.","For any questions or clarification, please contact us."
"Fraud via Stripe Radar","Fraud via Stripe Radar"
"Funds are never sent","Funds are never sent"
"Give the voucher to the cashier to scan the barcode.","Give the voucher to the cashier to scan the barcode."
"Hold Elevated Risk Orders","Hold Elevated Risk Orders"
"I would like to pay my balance","I would like to pay my balance"
"Icons Location","Icons Location"
"Initial Fee","Initial Fee"
"Initial fee for %1","Initial fee for %1"
"Inside the Stripe payment form","Inside the Stripe payment form"
"Installment Plans","Installment Plans"
"Installment plans are available for your card!","Installment plans are available for your card!"
"Invalid IBAN provided.","Invalid IBAN provided."
"Invalid type specified for PRAPI params","Invalid type specified for PRAPI params"
"Left hand side of the title","Left hand side of the title"
"Live Publishable API Key","Live Publishable API Key"
"Live Secret API Key","Live Secret API Key"
"Live Webhooks Signing Secret","Live Webhooks Signing Secret"
"Minimum Order Amount","Minimum Order Amount"
"Module Version","Module Version"
"Multiple months","Multiple months"
"No IBAN provided.","No IBAN provided."
"No order for processing found","No order for processing found"
"No session ID found for order #%1.","No session ID found for order #%1."
"Number of months","Number of months"
"OXXO payment instructions","OXXO payment instructions"
"Optional Statement Descriptor","Optional Statement Descriptor"
"Or use a card below","Or use a card below"
"Order #","Order #"
"Order #%1 by %2","Order #%1 by %2"
"Order #%1 could not be loaded.","Order #%1 could not be loaded."
"Order #%1 could not be placed: %2. Please try placing the order again.","Order #%1 could not be placed: %2. Please try placing the order again."
"Order #%1 has been placed successfully","Order #%1 has been placed successfully"
"Order #%1 has been received, but no payment was collected. You will receive a separate order email upon payment collection.","Order #%1 has been received, but no payment was collected. You will receive a separate order email upon payment collection."
"Order Total","Order Total"
"Order place error","Order place error"
"Order placed under manual review by Stripe Radar.","Order placed under manual review by Stripe Radar."
"Other Payment Methods","Other Payment Methods"
"Over a period of","Over a period of"
"P24 (Przelewy24)","P24 (Przelewy24)"
"Past Due","Past Due"
"Pay in store currency","Pay in store currency"
"Pay with ","Pay with "
"Payment Action","Payment Action"
"Payment Authorization","Payment Authorization"
"Payment Failed Emails","Payment Failed Emails"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Payment Location","Payment Location"
"Payment Method","Payment Method"
"Payment Type","Payment Type"
"Payment authentication succeeded.","Payment authentication succeeded."
"Payment due","Payment due"
"Payment failed. Please try placing the order again.","Payment failed. Please try placing the order again."
"Payment failed.","Payment failed."
"Payment failed: %1","Payment failed: %1"
"Payment failed: %1. Please try placing the order again.","Payment failed: %1. Please try placing the order again."
"Payment failed: 3D Secure customer authentication failed.","Payment failed: 3D Secure customer authentication failed."
"Payment succeeded.","Payment succeeded."
"Place Order","Place Order"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please complete all required fields before placing the order.","Please complete all required fields before placing the order."
"Please provide an IBAN.","Please provide an IBAN."
"Please provide an account holder name.","Please provide an account holder name."
"Please select your bank before placing the order","Please select your bank before placing the order"
"Please select your bank","Please select your bank"
"Please update your billing address to proceed.","Please update your billing address to proceed."
"Product Page","Product Page"
"Provide cash payment to the cashier.","Provide cash payment to the cashier."
"Radar Risk","Radar Risk"
"Receipt Emails","Receipt Emails"
"Received %1 webhook but could find the order ID for the event.","Received %1 webhook but could find the order ID for the event."
"Received %1 webhook but could find the source ID in the database.","Received %1 webhook but could find the source ID in the database."
"Right hand side of the title","Right hand side of the title"
"Routing Number","Routing Number"
"SCA MOTO Exemptions","SCA MOTO Exemptions"
